產品名稱,面積平均,面積標準差,最大-最小,產品顏色,吸取點,物件橫躺高度
透白口紅座,2168.818,141.8718122,366.0,淺色,0,20.0
黑色口紅座,2845.924315619968,982.9678615515774,2740.0,深色,20,20.0
黑色口紅蓋,651.51,28.72429854,116.0,深色,20,
白長樣品瓶,4054.787,76.5806131577911,278.5,淺色,0,16.0
白長樣品蓋,3469.164,88.30831115834613,310.0,淺色,45,15.5
黑長樣品瓶,6260.807,112.69358873015696,337.0,深色,0,18.5
黑長樣品蓋,3490.3490415335464,1488.6334855749683,4135.0,深色,57,18.5
圓眼影,3578.817,125.80739251340536,278.5,淺色,0,3.5
方眼影,1471.983,32.95754253915848,0.0,淺色,0,3.5
長眼影,4092.725,99.28294456331524,0.0,淺色,0,3.5
